NIL	EML	VBL	TMC	TKL
WBC	N_STOOLS	ISO	PH	SERUMPK
LYMPHO	BMI	OR	WATER	MK4
MONOC	WT	DG	AERO	PK
EOSINO	BF	ARA	ANAERO	MK5
BASOPH	FFM	ARC	AA_RATIO	MK6
NEUTR	WC	CRE		MK7
CD4	WHR	ABTS		MK8
CD4CM	REE	ISOCRE		MK9
CD4EM	ADJREE	DGCRE		MK10
CD4TEM	RQ	VITD		MK11
CD8	H	CRP		MK12
CD8CM	CH	HBA		MK13
CD8EM	GLUCOSE	TOTCHOL		
CD8TEM	INSULIN	TRIG		
CD8Naive	HOMA	HDL		
TotalCM	QUICKI	LDL		
TotalTEM	MATSUDA	VLDL		
TotalNaive	MEANGLUC	BPSAVG		
CD3pos	CGM_AUCB	BPDAVG		
NKTpercCD3pos	CGM_AUCG			
BCells	INSULIN_AUCG			
avg48hrB	measpredREE			
largstrespB				
avg24hrC				
avg48hrC				
largstrespC				
avg24hrD				
avg48hrD				
largstrespD				
posresp				
Tdiam24hr				
Tdiam48hr				
largstresp				
CONA_25UG_PER_ML				
ConA_50ug_per_ml				
PHA_2UG_PER_ML				
PHA_5UG_PER_ML				
PHA_25UG_PER_ML				
ANTI_CD3_1UG_PER_ML				
ANTI_CD3_10UG_PER_ML				
ANTI_CD3_5UG_PER_ML				
NK				
celldeath100				
celldeath50				
celldeath25				
Celldeath12				
PLASMA_IL_1B				
Plasma_IL_8				
Plasma_TNF_a				
LPS_IFN_g				
LPS_IL_10				
LPS_IL_1B				
LPS_IL_6				
LPS_IL_8				
Stool_IL_6				
Stool_INF				
Stool_TNF				
STOOL_IL_17				
Stool_TGF				
Propionate				
Butyrate				
Acettoprop				
stoolIgA				
salivaryIgAugpermin				
LBP				
